iter,loss,loss_f,loss_b
99,5.326164722442627,0.0008613307727500796,5.325303554534912
100,5.324007034301758,0.0008760107448324561,5.323131084442139
101,5.321848392486572,0.0008908999734558165,5.320957660675049
102,5.319689750671387,0.0009060000302270055,5.318783760070801
103,5.317530155181885,0.000921312952414155,5.316608905792236
104,5.315370082855225,0.0009368410101160407,5.3144330978393555
105,5.3132100105285645,0.0009525853674858809,5.312257289886475
106,5.31104850769043,0.0009685480035841465,5.310080051422119
107,5.308886528015137,0.0009847304318100214,5.307901859283447
108,5.306725025177002,0.001001134980469942,5.305723667144775
109,5.304562091827393,0.001017763395793736,5.303544521331787
110,5.302399635314941,0.0010346176568418741,5.301364898681641
111,5.300236225128174,0.0010516998590901494,5.299184322357178
112,5.298070907592773,0.0010690116323530674,5.297001838684082
113,5.295906066894531,0.0010865549556910992,5.294819355010986
